Bulbasaur	45	49	49	65	65	45	318
Ivysaur	60	62	63	80	80	60	405
Venusaur	80	82	83	100	100	80	525
Charmander	39	52	43	60	50	65	309
Charmeleon	58	64	58	80	65	80	405
Charizard	78	84	78	109	85	100	534
Squirtle	44	48	65	60	54	43	314
Wartortle	59	63	80	65	80	58	405
Blastoise	79	83	100	85	105	78	530
Caterpie	45	30	35	20	20	45	195
Metapod	50	20	55	25	25	30	205
Butterfree	60	45	50	80	80	70	385
Weedle	40	35	30	20	20	50	195
Kakuna	45	25	50	25	25	35	205
Beedrill	65	80	40	40	80	75	380
Pidgey	40	45	40	35	35	56	251
Pidgeotto	63	60	55	50	50	71	349
Pidgeot	83	80	75	70	70	91	469
Rattata	30	56	35	25	35	72	253
Raticate	55	81	60	50	70	97	413
Spearow	40	60	30	31	31	70	262
Fearow	65	90	65	61	61	100	442
Ekans	30	60	44	40	54	55	283
Arbok	60	85	69	65	79	80	438
Pikachu	35	55	30	50	40	90	300
Raichu	60	90	55	90	80	100	475
Sandshrew	50	75	85	20	30	40	300
Sandslash	75	100	110	45	55	65	450
Nidoran	55	47	52	40	40	41	275
Nidorina	70	62	67	55	55	56	365
Nidoqueen	90	82	87	75	85	76	495
Nidoran	46	57	40	40	40	50	273
Nidorino	61	72	57	55	55	65	365
Nidoking	81	92	77	85	75	85	495
Clefairy	70	45	48	60	65	35	323
Clefable	95	70	73	85	90	60	473
Vulpix	38	41	40	50	65	65	299
Ninetales	73	76	75	81	100	100	505
Jigglypuff	115	45	20	45	25	20	270
Wigglytuff	140	70	45	75	50	45	425
Zubat	40	45	35	30	40	55	245
Golbat	75	80	70	65	75	90	455
Oddish	45	50	55	75	65	30	320
Gloom	60	65	70	85	75	40	395
Vileplume	75	80	85	100	90	50	480
Paras	35	70	55	45	55	25	285
Parasect	60	95	80	60	80	30	405
Venonat	60	55	50	40	55	45	305
Venomoth	70	65	60	90	75	90	450
Diglett	10	55	25	35	45	95	265
Dugtrio	35	80	50	50	70	120	405
Meowth	40	45	35	40	40	90	290
Persian	65	70	60	65	65	115	440
Psyduck	50	52	48	65	50	55	320
Golduck	80	82	78	95	80	85	500
Mankey	40	80	35	35	45	70	305
Primeape	65	105	60	60	70	95	455
Growlithe	55	70	45	70	50	60	350
Arcanine	90	110	80	100	80	95	555
Poliwag	40	50	40	40	40	90	300
Poliwhirl	65	65	65	50	50	90	385
Poliwrath	90	85	95	70	90	70	500
Abra	25	20	15	105	55	90	310
Kadabra	40	35	30	120	70	105	400
Alakazam	55	50	45	135	85	120	490
Machop	70	80	50	35	35	35	305
Machoke	80	100	70	50	60	45	405
Machamp	90	130	80	65	85	55	505
Bellsprout	50	75	35	70	30	40	300
Weepinbell	65	90	50	85	45	55	390
Victreebel	80	105	65	100	60	70	480
Tentacool	40	40	35	50	100	70	335
